[0, 2, 1, 0, 3, 0, 0]
[0, 3, 1, 2, 3, 0, 0]
[0, 2, 1, 0, 1, 0, 0]
[0, 2, 0, 0, 2, 0, 0]
[0, 3, 0, 3, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0]
[0, 1, 1, 0, 3, 0, 0]
[0, 2, 2, 3, 3, 0, 0]
[0, 5, 2, 0, 3, 1, 0]
[0, 2, 2, 1, 3, 0, 1]
[1, 5, 3, 2, 3, 0, 0]
[0, 3, 2, 2, 2, 0, 0]
[1, 3, 1, 1, 4, 1, 1]
[0, 4, 1, 3, 3, 0, 0]
[0, 3, 3, 2, 2, 0, 0]
[0, 3, 2, 2, 4, 0, 0]
[0, 3, 2, 0, 2, 0, 0]
[0, 3, 2, 2, 2, 0, 0]
[0, 4, 1, 0, 1, 0, 0]
[0, 3, 2, 0, 3, 0, 1]
[0, 3, 2, 0, 3, 0, 0]
[0, 4, 0, 0, 3, 0, 0]
[0, 2, 2, 1, 3, 0, 0]
[0, 3, 0, 1, 1, 0, 0]
[0, 0, 2, 0, 4, 0, 0]
[0, 0, 1, 0, 2, 0, 0]
[1, 2, 2, 2, 4, 0, 0]
[0, 4, 2, 3, 3, 0, 0]
[0, 2, 2, 3, 3, 1, 0]
[0, 2, 2, 1, 4, 0, 0]
[0, 0, 0, 2, 0, 0, 0]
[0, 5, 2, 4, 4, 2, 0]
[0, 0, 0, 0, 1, 0, 0]
[1, 3, 3, 3, 4, 0, 0]
[1, 3, 3, 3, 5, 1, 0]
[0, 3, 2, 2, 1, 0, 0]
[0, 2, 4, 5, 5, 0, 0]
[0, 3, 1, 0, 4, 0, 0]
[1, 7, 8, 8, 3, 1, 0]
[0, 4, 5, 5, 0, 0, 0]
[2, 15, 16, 13, 7, 1, 2]
[4, 26, 17, 12, 4, 1, 0]
[7, 35, 17, 8, 5, 0, 1]
[108, 37, 6, 1, 4, 0, 0]
[1853, 23, 4, 4, 5, 0, 1]
[1529, 9, 2, 6, 4, 1, 0]
[39, 8, 7, 4, 7, 1, 2]
[31, 9, 5, 3, 6, 0, 2]
[26, 9, 5, 6, 7, 1, 2]
[18, 9, 2, 3, 4, 0, 0]
[15, 7, 3, 3, 3, 0, 1]
[15, 6, 5, 4, 6, 0, 1]
[11, 5, 2, 0, 3, 0, 0]
[13, 9, 3, 6, 5, 0, 0]
[9, 4, 3, 0, 4, 0, 1]
[12, 7, 3, 4, 4, 2, 4]
[9, 5, 4, 1, 4, 1, 4]
[8, 7, 4, 1, 4, 0, 1]
[6, 7, 2, 2, 3, 1, 4]
[4, 6, 4, 5, 5, 4, 3]
[6, 5, 4, 1, 6, 1, 2]
[0, 1, 0, 1, 2, 1, 0]
[3, 7, 4, 3, 8, 5, 6]
[3, 1, 1, 0, 8, 0, 6]
[2, 5, 4, 0, 10, 3, 10]
[2, 1, 2, 0, 12, 1, 12]
[4, 5, 3, 3, 12, 10, 24]
[3, 3, 2, 3, 5, 50, 45]
[0, 5, 0, 3, 0, 286, 207]
[2, 4, 4, 2, 3, 0, 659]
[3, 5, 3, 3, 4, 1, 789]
[3, 5, 4, 3, 5, 1, 519]
[0, 3, 1, 2, 3, 27, 197]
[2, 4, 2, 1, 3, 27, 168]
[2, 3, 2, 1, 3, 28, 164]
[1, 3, 3, 3, 5, 28, 156]
[1, 3, 3, 3, 5, 28, 156]
[2, 3, 2, 3, 3, 23, 128]
[0, 1, 0, 2, 0, 1, 151]
[2, 6, 4, 3, 4, 0, 175]
[6, 2, 5, 2, 0, 0, 0]
[6, 15, 17, 17, 4, 1, 2]
[1, 16, 23, 25, 0, 0, 0]
[3, 16, 38, 35, 8, 9, 0]
[1, 10, 40, 33, 9, 20, 0]
[0, 6, 35, 31, 15, 26, 0]
[0, 3, 21, 19, 16, 21, 0]
[0, 0, 8, 7, 13, 15, 0]
[0, 5, 11, 13, 15, 18, 4]
[2, 5, 11, 11, 16, 18, 4]
[1, 4, 16, 12, 18, 27, 8]
[0, 6, 24, 27, 19, 56, 28]
[0, 4, 45, 53, 40, 146, 81]
[2, 7, 67, 118, 117, 422, 217]
[3, 17, 37, 281, 507, 1780, 592]
[4, 16, 82, 818, 3248, 4, 598]
[7, 22, 49, 484, 1639, 2715, 1237]
[3, 15, 45, 239, 407, 1255, 586]
[2, 13, 54, 207, 313, 950, 496]
[0, 4, 48, 125, 185, 989, 730]
[5, 5, 30, 31, 38, 406, 1295]
[3, 3, 9, 11, 14, 122, 1107]
[1, 0, 4, 0, 6, 9, 572]
[0, 3, 4, 2, 2, 2, 260]
[0, 3, 4, 1, 9, 0, 14]
[3, 6, 4, 4, 5, 1, 0]
[0, 1, 4, 3, 4, 0, 0]
[0, 4, 0, 5, 0, 1, 0]
[0, 2, 4, 5, 3, 0, 1]
[0, 4, 0, 7, 0, 0, 0]
[0, 5, 5, 8, 5, 0, 0]
[0, 6, 0, 4, 0, 0, 0]
[0, 8, 7, 9, 4, 1, 0]
[0, 5, 5, 8, 3, 1, 0]
[2, 7, 5, 11, 1, 3, 0]
[1, 9, 9, 13, 6, 6, 0]
[0, 10, 10, 16, 6, 6, 0]
[1, 8, 11, 19, 9, 4, 0]
[0, 9, 15, 26, 17, 13, 2]
[1, 12, 22, 43, 49, 604, 0]
[1, 11, 40, 68, 113, 48, 1]
[0, 13, 23, 48, 54, 1414, 0]
[0, 7, 23, 38, 35, 63, 0]
[0, 4, 19, 38, 31, 60, 1]
