[0, 1, 57, 2, 6, 0, 87]
[0, 3, 56, 4, 5, 0, 86]
[0, 2, 58, 4, 7, 1, 87]
[0, 1, 56, 4, 4, 1, 87]
[0, 2, 77, 4, 7, 0, 91]
[0, 27, 5, 2, 6, 0, 81]
[0, 378, 5, 1, 2, 0, 15]
[1, 110, 14, 1, 4, 0, 21]
[0, 2, 8, 10, 20, 67, 124]
[0, 112, 312, 129, 81, 218, 10]
[73, 124, 156, 225, 601, 5, 3]
[41, 84, 105, 167, 350, 8, 2]
[1, 9, 86, 108, 60, 68, 420]
[22, 4, 3, 4, 5, 756, 75]
[13, 32, 129, 3, 4, 0, 998]
[12, 36, 57, 3, 4, 1, 1126]
[13, 2, 1, 6, 133, 384, 31]
[0, 207, 149, 46, 33, 114, 1]
[256, 54, 93, 115, 72, 11, 2]
[46, 64, 92, 155, 151, 9, 1]
[15, 299, 71, 9, 5, 9, 366]
[1, 10, 43, 255, 328, 744, 20]
